# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr      Npt   order   minmax   FeH_S05   OGLEID    Imean_ogle   Vmean_ogle   VmI          FeH_S16J                phi31v               phi31Kp              FeH_S16N              
  smc0056   840   0.60031    0.337    0.139   0.049   0.032   -0.007   2.762    0.059    9.0588    6.3616   18.888    1.9309   0.0022986904   1      0.989   0.991    107.5    840   4       0.923    -1.184    smc0056   18.88        19.47        0.5819988    -0.887854076019015      5.497134393890573    5.671134393890573    -0.7451166644438345   
  smc0057   485   0.631111   0.382    0.124   0.057   0.031   -0.011   2.688    -0.416   8.9933    5.9002   19.117    0.8499   0.0017523712   1      0.984   0.988    116.3    485   4       0.822    -1.787    smc0057   19.106       19.689       0.5719986    -1.516287589202575      5.152957849112922    5.326957849112922    -1.573446457820399    
  smc0058   505   0.570476   0.7      0.229   0.102   0.081   0.002    2.63     -1.002   8.9098    5.2769   19.256    0.941    0.0018633663   1      0.984   0.983    217.3    505   5       0.925    -1.778    smc0058   19.233       19.784       0.5279999    -1.702849305781891      4.770497080758784    4.944497080758785    -1.9849964461014977   
  smc0059   504   0.466691   0.754    0.253   0.123   0.092   -0.012   2.539    -0.949   8.8456    5.3694   19.546    1.5008   0.0029777777   1      0.989   0.988    166.6    504   5       1.124    -1.109    smc0059   19.514       20.038       0.49200058   -1.0748609925966397     4.821265689595137    4.995265689595137    -0.9508789775167479   
  smc0060   502   0.585956   0.539    0.202   0.08    0.057   -0.004   2.631    -0.955   8.922     5.3397   19.11     0.9392   0.0018709163   1      0.987   0.988    166.4    502   5       0.828    -2.035    smc0060   19.085       19.652       0.5419998    -1.7403708404109768     4.80473744572938     4.97873744572938     -2.040911498217312    
  smc0063   476   0.465037   0.801    0.252   0.132   0.092   -0.002   2.587    -0.963   8.8739    5.3267   19.366    0.9563   0.0020090337   1      0.981   0.989    222.8    476   5       1.143    -0.961    smc0063   19.338       19.859       0.49300003   -1.0977575286051948     4.79757052833416     4.97157052833416     -0.9765980157014518   
  smc0064   832   0.544322   0.732    0.231   0.105   0.088   -0.026   2.542    -1.021   8.8773    5.3413   19.319    1.7813   0.0021409856   1      0.99    0.989    266.1    832   5       1.193    -1.574    smc0064   19.293       19.829       0.5100002    -1.514608906904475      4.805622260089638    4.979622260089639    -1.6682816910951956   
  smc0066   808   0.567689   0.682    0.218   0.099   0.081   0.0      2.61     -0.845   8.8929    5.4378   18.8      0.9952   0.0012316832   1      0.991   0.992    361.3    808   5       0.891    -1.688    smc0066   18.778       19.343       0.5430012    -1.5674290300184213     4.860149558432614    5.034149558432614    -1.7502653601369502   
  smc0068   484   0.635752   0.341    0.133   0.052   0.034   0.012    2.98     -0.087   9.2401    6.161    19.097    0.7011   0.0014485538   1      0.987   0.988    117.5    484   4       0.726    -1.424    smc0068   19.085       19.676       0.5790005    -1.2885964717247216     5.341116192460532    5.515116192460533    -1.201999138776202    
  smc0069   507   0.631469   0.356    0.139   0.051   0.038   -0.004   2.735    -0.139   9.0265    6.1566   19.016    0.7563   0.0014917159   1      0.983   0.991    113.5    507   4       1.154    -1.572    smc0069   19.005       19.588       0.5719986    -1.269942523701693      5.337804273172218    5.511804273172219    -1.184827731590243    
  smc0072   504   0.555532   0.534    0.2     0.092   0.048   0.004    2.828    -0.887   9.1037    5.3844   18.866    0.9138   0.0018130953   1      0.988   0.987    166.6    504   5       0.841    -1.689    smc0072   18.851       19.404       0.5380001    -1.5427500995580337     4.829695068409928    5.003695068409928    -1.7137367461460329   
  smc0075   364   0.522528   0.758    0.246   0.114   0.085   -0.009   2.604    -0.966   8.9044    5.3433   19.194    0.6286   0.001726923    1      0.982   0.983    213.2    364   5       0.941    -1.48     smc0075   19.169       19.704       0.5100002    -1.3955656298889512     4.8067292222218825   4.980729222221883    -1.4720780733131704   
  smc0076   507   0.664195   0.346    0.134   0.056   0.028   0.015    2.783    -0.417   9.0365    5.8218   19.119    0.8186   0.0016145956   1      0.988   0.985    113.2    507   5       0.708    -1.807    smc0076   19.104       19.702       0.5830002    -1.7663535617720996     5.099639494795935    5.273639494795935    -1.92864329496539     
